status,lot_no,stone_id,location,weight,shape,color,clarity,cut,polish,symmetry,rapnet_price,system_discount,system price,system amount,lab,certificate,certi_pdf_url,ratio,measurements,fluor_int,table,depth,crown_ht,crown_angle,pavilion_dep,pavilion_an,stone_type,v360,imgurl,eye_clean
Available,RP-KR-18,19221,INDIA,1,Radiant,H,SI1,,EX,EX,4600,-96.38,166.52,166.52,NC,,,1.47,6.94 x 4.72 x 3.20,,67.26,67.85,14.35,50.32,47.21,29.79,,Click Here,Click Here,YES
Available,ADI15,53760A,INDIA,1,Radiant,J,SI1,EX,EX,EX,3400,-96.42,121.72,121.72,NC,,,,*3.262,None,70.48,66.94,0,48.04,0,0,CVD,Click Here,Click Here,YES
Available,ADI19,55555A,INDIA,1,Radiant,L,SI1,EX,EX,EX,2300,-95.57,101.89,101.89,NC,,,1.42,7.11 x 5.02 x 3.10,None,70.51,61.75,0,42.03,0,0,CVD,Click Here,Click Here,YES
Available,RPE 5201 174,57387A,INDIA,1,Radiant,M,I1,VG,VG,VG,1400,-92.86,100,100,NC,,,1.49,7.26 x 4.88 x 3.21,None,71.11,65.65,0,42.88,0,0,CVD,Click Here,Click Here,NO
Available,RP-KR-16,17820,INDIA,0.95,Radiant,H,VS1,,EX,EX,4800,-91.1,427.2,405.84,IGI,550256920,Click Here,1.36,6.62 x 4.85 x 3.24,None,70,66.8,11.5,48.1,52,31.7,CVD,Click Here,Click Here,YES
Available,NRF09,53167A,INDIA,0.93,Radiant,G,VS1,,EX,EX,5200,-93.1,358.8,333.68,IGI,574322249,Click Here,1.46,6.92 x 4.75 x 3.17,None,70.5,66.7,43,13,47,31.6,CVD,Click Here,Click Here,YES
Available,NRF09,53183A,INDIA,0.93,Radiant,G,VS2,EX,EX,EX,4800,-97.04,142.08,132.13,NC,,,,*3.393,None,69.34,71.13,0,49.25,0,0,CVD,Click Here,Click Here,YES
Available,RP-KR-16,17894,INDIA,0.91,Radiant,G,VS1,,EX,EX,5200,-93.1,358.8,326.51,IGI,547264166,Click Here,1.37,6.46 x 4.73 x 3.34,None,60.5,70.6,16,47.9,50,32.4,CVD,Click Here,Click Here,YES
Available,RPE-12,41653,INDIA,0.88,Radiant,D,VS2,,EX,EX,4400,-91.31,382.36,336.48,IGI,476175198,Click Here,1.38,6.45 x 4.68 x 3.26,None,70.5,69.7,15,49.9,49.5,32.6,CVD,Click Here,Click Here,YES
Available,RP-KR-16,17820-2,INDIA,0.77,Radiant,G,VS1,,EX,EX,4200,-94.03,250.74,193.07,IGI,544263465,Click Here,1.48,6.36 x 4.29 x 2.99,None,73,69.7,13.5,47.4,49.5,29.5,CVD,Click Here,Click Here,YES
